Id,SalePrice
1461,5407.947265625
1462,5399.67431640625
1463,5507.22607421875
1464,5509.98388671875
1465,5493.4375
1466,5496.1953125
1467,5493.4375
1468,5509.98388671875
1469,5487.921875
1470,5432.76708984375
1471,5512.74169921875
1472,5435.52490234375
1473,5435.52490234375
1474,5446.5556640625
1475,5446.5556640625
1476,5540.3193359375
1477,5540.3193359375
1478,5529.2880859375
1479,5529.2880859375
1480,5523.7724609375
1481,5521.01513671875
1482,5532.0458984375
1483,5529.2880859375
1484,5532.0458984375
1485,5526.5302734375
1486,5526.5302734375
1487,5509.98388671875
1488,5529.2880859375
1489,5540.3193359375
1490,5529.2880859375
1491,5526.5302734375
1492,5294.8798828125
1493,5443.79833984375
1494,5496.1953125
1495,5493.4375
1496,5526.5302734375
1497,5526.5302734375
1498,5526.5302734375
1499,5526.5302734375
1500,5529.2880859375
1501,5515.49951171875
1502,5523.7724609375
1503,5543.07666015625
1504,5515.49951171875
1505,5521.01513671875
1506,5424.494140625
1507,5496.1953125
1508,5454.8291015625
1509,5435.52490234375
1510,5421.736328125
1511,5421.736328125
1512,5424.494140625
1513,5416.220703125
1514,5410.705078125
1515,5383.1279296875
1516,5374.8544921875
1517,5421.736328125
1518,5399.67431640625
1519,5523.7724609375
1520,5402.43212890625
1521,5402.43212890625
1522,5402.43212890625
1523,5394.15869140625
1524,5383.1279296875
1525,5391.40087890625
1526,5399.67431640625
1527,5294.8798828125
1528,5372.0966796875
1529,5405.18994140625
1530,5413.462890625
1531,5239.72509765625
1532,5294.8798828125
1533,5396.91650390625
1534,5344.51953125
1535,5372.0966796875
1536,5294.8798828125
1537,5303.1533203125
1538,5239.72509765625
1539,5212.14794921875
1540,5267.302734375
1541,5300.3955078125
1542,5377.6123046875
1543,5300.3955078125
1544,5308.6689453125
1545,5347.27734375
1546,5350.03466796875
1547,5355.55029296875
1548,5372.0966796875
1549,5339.00390625
1550,5322.45751953125
1551,5303.1533203125
1552,5281.09130859375
1553,5272.81787109375
1554,5294.8798828125
1555,5402.43212890625
1556,5286.60693359375
1557,5281.09130859375
1558,5350.03466796875
1559,5259.029296875
1560,5267.302734375
1561,5424.494140625
1562,5421.736328125
1563,5427.25146484375
1564,5454.8291015625
1565,5427.25146484375
1566,5452.0712890625
1567,5314.18408203125
1568,5454.8291015625
1569,5344.51953125
1570,5377.6123046875
1571,5369.3388671875
1572,5388.64306640625
1573,5540.3193359375
1574,5416.220703125
1575,5479.64892578125
1576,5496.1953125
1577,5543.07666015625
1578,5239.72509765625
1579,5504.46826171875
1580,5507.22607421875
1581,5452.0712890625
1582,5438.28271484375
1583,5523.7724609375
1584,5507.22607421875
1585,5523.7724609375
1586,5363.82373046875
1587,5388.64306640625
1588,5427.25146484375
1589,5372.0966796875
1590,5446.5556640625
1591,5399.67431640625
1592,5305.9111328125
1593,5347.27734375
1594,5424.494140625
1595,5325.21533203125
1596,5352.79248046875
1597,5377.6123046875
1598,5498.953125
1599,5485.1640625
1600,5485.1640625
1601,5352.79248046875
1602,5297.6376953125
1603,5228.6943359375
1604,5526.5302734375
1605,5509.98388671875
1606,5452.0712890625
1607,5449.3134765625
1608,5537.5615234375
1609,5540.3193359375
1610,5532.0458984375
1611,5418.978515625
1612,5526.5302734375
1613,5512.74169921875
1614,5441.04052734375
1615,5432.76708984375
1616,5432.76708984375
1617,5438.28271484375
1618,5435.52490234375
1619,5471.37548828125
1620,5474.13330078125
1621,5490.6796875
1622,5430.00927734375
1623,5498.953125
1624,5496.1953125
1625,5394.15869140625
1626,5443.79833984375
1627,5507.22607421875
1628,5523.7724609375
1629,5504.46826171875
1630,5526.5302734375
1631,5509.98388671875
1632,5501.7109375
1633,5509.98388671875
1634,5509.98388671875
1635,5498.953125
1636,5496.1953125
1637,5452.0712890625
1638,5454.8291015625
1639,5454.8291015625
1640,5460.3447265625
1641,5454.8291015625
1642,5523.7724609375
1643,5515.49951171875
1644,5521.01513671875
1645,5446.5556640625
1646,5443.79833984375
1647,5446.5556640625
1648,5432.76708984375
1649,5435.52490234375
1650,5432.76708984375
1651,5435.52490234375
1652,5441.04052734375
1653,5438.28271484375
1654,5449.3134765625
1655,5446.5556640625
1656,5452.0712890625
1657,5454.8291015625
1658,5454.8291015625
1659,5449.3134765625
1660,5421.736328125
1661,5534.8037109375
1662,5540.3193359375
1663,5537.5615234375
1664,5534.8037109375
1665,5537.5615234375
1666,5526.5302734375
1667,5534.8037109375
1668,5537.5615234375
1669,5532.0458984375
1670,5537.5615234375
1671,5523.7724609375
1672,5523.7724609375
1673,5523.7724609375
1674,5532.0458984375
1675,5529.2880859375
1676,5529.2880859375
1677,5534.8037109375
1678,5526.5302734375
1679,5523.7724609375
1680,5537.5615234375
1681,5537.5615234375
1682,5521.01513671875
1683,5523.7724609375
1684,5529.2880859375
1685,5529.2880859375
